	count
((4, ('m3', 'm6')), (-2, ('M3', 'M7')))	1
((4, ('m3', 'm6')), (5, ('M2', 'm6')))	1
((6, ('m3', 'd5')), (3, ('M2', 'P4')))	1
((3, ('P4', 'P5')), (1, ('a4', 'M6')))	1
((2, ('m3', 'm6')), (0, ('M3', 'M7')))	1
((5, ('P4', 'm6')), (5, ('M3', 'm6')))	1
((2, ('P4', 'P5')), (5, ('m3', 'd5', 'm6')))	1
((6, ('d5', 'M6')), (1, ('M3', 'P5', 'm7')))	1
((-1, ('M2', 'a4', 'M6')), (5, ('P4', 'm6')))	1
((5, ('P4', 'm6')), (1, ('P4', 'M6')))	1
((-1, ('M3', 'P5')), (-4, ('a4', 'M6')))	1
((3, ('m3', 'm6')), (3, ('m3', 'd5', 'd7')))	1
((3, ('m3', 'd5', 'd7')), (-4, ('P4', 'M6')))	1
((8, ('m3', 'd5', 'd7')), (1, ('m3', 'm7')))	1
((1, ('P4', 'P5', 'm7')), (5, ('m3', 'd5')))	1
((2, ('m3', 'P5', 'm7')), (-1, ('a4', 'M6')))	1
((-2, ('M3', 'M6')), (-2, ('a2', 'a4')))	1
((-2, ('a2', 'a4')), (1, ('M2', 'a4', 'M6')))	1
((5, ('m3', 'd5', 'm7')), (7, ('d4', 'd5')))	1
((7, ('d4', 'd5')), (3, ('P4', 'm6')))	1
((3, ('P4', 'm6')), (2, ('m3', 'P5', 'M6')))	1
((3, ('m3', 'M6')), (8, ('m3', 'd5', 'm7')))	1
((2, ('M3', 'm7')), (4, ('m3', 'm6')))	1
((2, ('m3', 'm7')), (3, ('m3', 'P5')))	1
((5, ('m3', 'd5')), (4, ('m3', 'm7')))	1
((2, ('m3', 'M6')), (0, ('M3', 'P5', 'M7')))	1
((2, ('m3', 'M6')), (0, ('M2', 'a4', 'M6')))	1
((-2, ('m3', 'M6')), (0, ('m3', 'M6')))	1
((0, ('m3', 'M6')), (-1, ('P4', 'm6')))	1
((6, ('m3', 'm6')), (3, ('m3', 'a4', 'M6')))	1
((2, ('M3', 'M6')), (2, ('m3', 'P5')))	1
((5, ('m3', 'd5', 'm6')), (2, ('m3', 'm7', 'P5')))	1
((2, ('m3', 'm7', 'P5')), (2, ('m3', 'M6')))	1
((9, ('m3', 'd5', 'd7')), (9, ('m3', 'm6', 'd7')))	1
((9, ('m3', 'm6', 'd7')), (9, ('m3', 'd5', 'd7')))	1
((-1, ('m3', 'a4', 'M6')), (1, ('m3', 'a4', 'M6')))	1
((6, ('m3', 'd5', 'd7')), (6, ('d4', 'd5', 'd7')))	1
((-1, ('P4', 'm6')), (-6, ('M3', 'P5', 'M6')))	1
((-6, ('M3', 'P5', 'M6')), (1, ('m3', 'd5', 'm6')))	1
((-2, ('P4', 'm6')), (-7, ('M3', 'P5', 'a6')))	1
((-7, ('M3', 'P5', 'a6')), (3, ('m3', 'd5', 'd7')))	1
((3, ('m3', 'd5', 'd7')), (-5, ('M3', 'P5')))	1
((5, ('m3', 'P5')), (0, ('M3', 'M6')))	1
((0, ('M3', 'P5', 'm7')), (-1, ('M2', 'P4', 'm6')))	1
((3, ('m3', 'M6')), (3, ('m3', 'P4')))	1
((1, ('P4', 'M6')), (-4, ('a4', 'M6')))	1
((3, ('m3', 'P4')), (1, ('m3', 'P5')))	1
((1, ('m3', 'M6')), (1, ('M3', 'P4')))	1
((2, ('m3', 'M6')), (9, ('m3', 'd5', 'm6')))	1
((4, ('P4', 'm6')), (2, ('a4', 'M6')))	1
((2, ('m3', 'P5', 'm7')), (7, ('m3', 'd5', 'm6')))	1
((4, ('m3', 'd5', 'm7')), (2, ('m3', 'M6')))	1
((5, ('m3', 'P5')), (7, ('m3', 'M6')))	1
((7, ('m3', 'M6')), (5, ('M3', 'P5')))	1
((9, ('m3', 'd5', 'm6')), (1, ('M3', 'M6')))	1
((6, ('m3', 'd5')), (5, ('m3', 'd5')))	1
((8, ('m3', 'd5', 'm6')), (7, ('m3', 'm6')))	1
((4, ('P4', 'M6')), (1, ('M2', 'a4', 'M6')))	1
((0, ('M3', 'M6')), (1, ('a4', 'M6')))	1
((1, ('P4', 'M6')), (4, ('m3', 'P5')))	1
((8, ('m3', 'm6')), (-2, ('m3', 'a4', 'M6')))	1
((-2, ('M2', 'a4', 'M6')), (2, ('M3', 'P5')))	1
((4, ('M3', 'P5')), (-6, ('m3', 'a4', 'M6')))	1
((-5, ('M3', 'M6')), (-5, ('m3', 'P4', 'M6')))	1
((3, ('m3', 'P5', 'M6')), (6, ('m3', 'd5', 'm7')))	1
((4, ('m3', 'm6')), (2, ('m3', 'd5', 'd7')))	1
((-4, ('m3', 'P5')), (-4, ('M3', 'M6')))	1
((-3, ('m3', 'd5', 'M6')), (-1, ('M3', 'M6')))	1
((4, ('m3', 'P5')), (5, ('m3', 'd5', 'm7')))	1
((3, ('m3', 'm6')), (-2, ('m3', 'P5', 'm7')))	1
((-2, ('m3', 'P5', 'm7')), (5, ('m3', 'd5', 'd7')))	1
((2, ('m3', 'P5')), (-3, ('m3', 'd5', 'M6')))	1
((6, ('m3', 'd5', 'm7')), (5, ('M3', 'P5', 'm7')))	1
((-6, ('M3', 'M6')), (-4, ('P4', 'M6')))	1
((5, ('M3', 'P5', 'm7')), (6, ('m3', 'P4', 'M6')))	1
((6, ('m3', 'P4', 'M6')), (8, ('m3', 'd5', 'd7')))	1
((-2, ('M2', 'a4', 'M6')), (-2, ('M2', 'a4', 'm7')))	1
((-2, ('m3', 'd5', 'm7')), (0, ('P4', 'm6')))	1
((0, ('M3', 'P5', 'm7')), (-2, ('m3', 'd5', 'm7')))	1
((3, ('M3', 'P5', 'm7')), (2, ('m3', 'a4')))	1
((1, ('M3', 'M6', 'm7')), (4, ('m3', 'm7')))	1
((-3, ('M3', 'P5')), (-2, ('M3', 'M6', 'm7')))	1
((0, ('M3', 'P5')), (5, ('m3', 'd7')))	1
((-2, ('M3', 'P5', 'm7')), (-4, ('M3', 'M6')))	1
((-1, ('m3', 'P5')), (-1, ('m3', 'a4')))	1
((7, ('m3', 'd5', 'm6')), (7, ('m3', 'd5', 'M6')))	1
((2, ('m3', 'P4', 'M6')), (9, ('m3', 'd5', 'm6')))	1
((9, ('m3', 'd5', 'm6')), (4, ('m3', 'm6')))	1
((1, ('M2', 'P4')), (2, ('m3', 'P5')))	1
((0, ('m3', 'd5', 'M6')), (5, ('m3', 'd5', 'd7')))	1
((2, ('M2', 'a4', 'M6')), (-5, ('a2', 'a4')))	1
((0, ('M3', 'a4')), (0, ('P4', 'M6')))	1
((-4, ('M3', 'a5')), (1, ('M3', 'M6', 'm7')))	1
((5, ('m3', 'd5', 'd7')), (4, ('M2', 'm6')))	1
((4, ('m3', 'P5')), (3, ('P4', 'M6')))	1
((1, ('M3', 'P5')), (-6, ('a4', 'M6')))	1
((-1, ('M3', 'P5', 'm7')), (-8, ('M3', 'P5', 'm7')))	1
((-8, ('M3', 'P5', 'm7')), (-3, ('M3', 'P5', 'm7')))	1
((-3, ('M3', 'P5', 'm7')), (-10, ('M3', 'P5', 'm7')))	1
((-10, ('M3', 'P5', 'm7')), (-5, ('M3', 'P5', 'm7')))	1
((-1, ('m3', 'P5')), (-6, ('M3', 'M6')))	1
((0, ('m3', 'a4', 'M6')), (0, ('m3', 'a4', 'M7')))	1
((3, ('m3', 'P4', 'm7')), (5, ('m3', 'd5', 'm6')))	1
((-9, ('a2', 'a5', 'M6')), (-4, ('M3', 'P5', 'm7')))	1
((-6, ('P5', 'M6')), (-6, ('a4', 'M6')))	1
((-6, ('a4', 'M6')), (-6, ('M2', 'a4', 'M6')))	1
((-6, ('M2', 'a4', 'M6')), (-6, ('a4', 'M6')))	1
((-6, ('a4', 'M6')), (-6, ('a4', 'M6')))	1
((-6, ('a4', 'M6')), (-1, ('m3', 'P5', 'm7')))	1
((-9, ('a4', 'M6')), (-9, ('M3', 'P5', 'M6')))	1
((-9, ('M3', 'P5', 'M6')), (-9, ('a2', 'a5', 'M6')))	1
((-5, ('M3', 'M6')), (-12, ('a4', 'M6')))	1
((-5, ('M2', 'a4')), (-3, ('M3', 'M6')))	1
((-12, ('a4', 'M6')), (-7, ('M3', 'P5')))	1
((-3, ('a4', 'M6')), (2, ('M3', 'P5')))	1
((-5, ('M3', 'P5')), (-12, ('a4', 'M6')))	1
((-12, ('a4', 'M6')), (-12, ('M3', 'P5', 'a6')))	1
((-12, ('M3', 'P5', 'a6')), (-7, ('P4', 'M6')))	1
((-3, ('a4', 'M6')), (-3, ('M3', 'P5', 'M6')))	1
((-3, ('M3', 'P5', 'M6')), (-3, ('a2', 'a5', 'M6')))	1
((1, ('M3', 'P5')), (-6, ('P5', 'M6')))	1
((0, ('P4', 'M6')), (1, ('P4', 'P5', 'm7')))	1
((-3, ('m3', 'a4', 'M6')), (3, ('m3', 'm6')))	1
((2, ('m3', 'M6', 'm7')), (1, ('M3', 'P5', 'm7')))	1
((-8, ('M3', 'P5')), (-7, ('M3', 'P5', 'm7')))	1
((-8, ('M3', 'P5')), (-7, ('M3', 'P5')))	1
((9, ('m3', 'd5', 'd7')), (4, ('M2', 'm6')))	1
((2, ('m3', 'P5', 'm7')), (9, ('m3', 'd5', 'd7')))	1
((3, ('m3', 'P4', 'M6')), (5, ('m3', 'm7')))	1
((0, ('P4', 'P5')), (3, ('m3', 'P4', 'M6')))	1
((2, ('M3', 'M6')), (3, ('P4', 'M6')))	1
((3, ('P4', 'M6')), (3, ('m3', 'P5')))	1
((3, ('m3', 'a4', 'M6')), (1, ('M3', 'P5', 'm7')))	1
((3, ('m3', 'a4', 'M6')), (-1, ('m3', 'a4', 'M6')))	1
((-1, ('m3', 'P4', 'M6')), (-3, ('a4', 'P5')))	1
((0, ('M3', 'M6')), (1, ('P4', 'P5', 'm7')))	1
((-4, ('M3', 'P5')), (-3, ('a2', 'a4', 'M6')))	1
((-3, ('a2', 'a4', 'M6')), (1, ('M3', 'm6')))	1
((-3, ('a4', 'M6')), (2, ('P4', 'M6')))	1
((7, ('m3', 'd5', 'd7')), (6, ('m3', 'd5', 'm6')))	1
((0, ('M2', 'M3', 'a5')), (0, ('M3', 'M6')))	1
((5, ('M3', 'P5', 'm7')), (0, ('M2', 'M3', 'a5')))	1
((-1, ('P4', 'm6')), (-1, ('m3', 'P4', 'm6')))	1
((0, ('M3', 'M7', 'a5')), (0, ('M3', 'M6')))	1
((0, ('M3', 'M6')), (2, ('M3', 'M6', 'm7')))	1
((0, ('M3', 'M6')), (5, ('M3', 'm6', 'm7')))	1
((5, ('M3', 'm6', 'm7')), (5, ('M3', 'P5', 'm7')))	1
((5, ('M3', 'P5', 'm7')), (0, ('M3', 'M6')))	1
((1, ('m3', 'M6')), (-2, ('M3', 'M6')))	1
((4, ('m3', 'M6')), (-2, ('M3', 'M6')))	1
((4, ('m3', 'd5', 'd7')), (0, ('m3', 'P5')))	1
((3, ('m3', 'P5', 'M6')), (5, ('P4', 'P5', 'm7')))	1
((9, ('m3', 'm6')), (1, ('M3', 'P5', 'm7')))	1
((2, ('m3', 'P4', 'M6')), (0, ('a2', 'a4', 'M6')))	1
((0, ('M3', 'P5', 'm7')), (0, ('M3', 'a5', 'm7')))	1
((3, ('P4', 'm6')), (-2, ('M3', 'P5', 'm7')))	1
((4, ('M3', 'P5')), (4, ('m3', 'd5', 'm6')))	1
((-1, ('M3', 'P5')), (2, ('P4', 'm6')))	1
((1, ('m3', 'a4', 'M6')), (1, ('M3', 'a4', 'm7')))	1
((1, ('M3', 'P5')), (0, ('M3', 'M7', 'a5')))	1
((1, ('a2', 'P4', 'P5')), (1, ('M3', 'P5')))	1
((6, ('m3', 'd5', 'm6')), (1, ('a2', 'P4', 'P5')))	1
((3, ('P4', 'P5', 'm7')), (5, ('m3', 'm6')))	1
((3, ('M3', 'P5', 'm7')), (1, ('m3', 'a4', 'M6')))	1
((3, ('P4', 'm6')), (-4, ('M3', 'a4', 'a6')))	1
((1, ('M3', 'P5', 'm7')), (3, ('P4', 'm7')))	1
((3, ('P4', 'm7')), (5, ('m3', 'd5', 'm6')))	1
((6, ('m3', 'd5', 'd7')), (-3, ('P4', 'm6')))	1
((-3, ('P4', 'm6')), (1, ('M3', 'P5', 'm7')))	1
((3, ('m3', 'P5')), (8, ('d4', 'm6')))	1
((0, ('M3', 'P5', 'm7')), (2, ('M2', 'P4', 'm6')))	1
((3, ('m3', 'P4', 'M6')), (0, ('M3', 'P5')))	1
((4, ('m3', 'P5')), (-1, ('M3', 'a4', 'M6')))	1
((7, ('m3', 'd5', 'd7')), (1, ('M3', 'P5', 'm7')))	1
((2, ('m3', 'P4', 'M6')), (9, ('m3', 'd5')))	1
((3, ('m3', 'm7')), (3, ('m3', 'm7')))	1
((-6, ('m3', 'm6')), (-2, ('M3', 'M6')))	1
((0, ('m3', 'P5')), (-6, ('m3', 'm6')))	1
((-4, ('a2', 'a4', 'M6')), (0, ('M2', 'P4', 'm6')))	1
((-3, ('a2', 'a4', 'M6')), (2, ('m3', 'm7')))	1
((4, ('m3', 'P5')), (1, ('m3', 'P5')))	1
((-1, ('M3', 'M6')), (2, ('m3', 'P4', 'm7')))	1
((-3, ('M3', 'M6')), (0, ('a4', 'M6')))	1
((8, ('m3', 'd5', 'm6')), (4, ('M3', 'm6', 'm7')))	1
((3, ('m3', 'P5')), (2, ('m3', 'a4', 'm7')))	1
((2, ('m3', 'a4', 'm7')), (3, ('m3', 'P5')))	1
((3, ('m3', 'P5')), (0, ('M3', 'a5', 'm7')))	1
((5, ('m3', 'm6')), (4, ('M2', 'd5', 'd7')))	1
((4, ('M2', 'd5', 'd7')), (4, ('m3', 'd5', 'd7')))	1
((4, ('m2', 'm6')), (1, ('M3', 'P5', 'm7')))	1
((1, ('m3', 'a4', 'M6')), (-2, ('M3', 'a4', 'M6')))	1
((1, ('M3', 'P5', 'm7')), (0, ('M3', 'P4', 'M6')))	1
((0, ('M3', 'P4', 'M6')), (1, ('M3', 'P5', 'm7')))	1
((1, ('M2', 'P4', 'M6')), (1, ('P4', 'M6')))	1
((0, ('M3', 'P5', 'M6')), (0, ('P4', 'P5')))	1
((2, ('P4', 'M6')), (3, ('m3', 'P5', 'm7')))	1
((3, ('m3', 'P5', 'm7')), (3, ('m3', 'P5', 'M6')))	1
((8, ('m3', 'm6')), (5, ('P4', 'P5', 'm7')))	1
((3, ('P4', 'm6')), (4, ('m3', 'd5', 'M6')))	1
((4, ('m3', 'M6')), (-3, ('a2', 'a4', 'M6')))	1
((2, ('m3', 'd5', 'M6')), (0, ('M3', 'M6')))	1
((2, ('m3', 'm6')), (-1, ('m3', 'P4', 'M6')))	1
((-1, ('m3', 'P4', 'M6')), (-4, ('M3', 'P5')))	1
((0, ('M3', 'P5')), (5, ('m2', 'm6')))	1
((5, ('m2', 'm6')), (3, ('m3', 'M6')))	1
((3, ('M2', 'P4', 'm6')), (8, ('m3', 'd5', 'd7')))	1
((1, ('m3', 'a4', 'M6')), (6, ('m3', 'P5', 'm7')))	1
((6, ('m3', 'P5', 'm7')), (-1, ('m3', 'a4', 'M6')))	1
((-1, ('m3', 'a4', 'M6')), (4, ('m3', 'P5', 'm7')))	1
((4, ('m3', 'P5', 'm7')), (3, ('m3', 'P4', 'M6')))	1
((0, ('M2', 'a4', 'M6')), (5, ('m3', 'm7', 'P5')))	1
((8, ('m3', 'd5', 'm6')), (3, ('m3', 'd5', 'M6')))	1
((5, ('m3', 'm7', 'P5')), (1, ('M3', 'P5')))	1
((6, ('m3', 'd5', 'd7')), (1, ('P4', 'M6', 'm7')))	1
((0, ('M3', 'P5')), (5, ('M2', 'm6')))	1
((8, ('m3', 'd5', 'd7')), (3, ('m3', 'd5', 'M6')))	1
((-4, ('M3', 'P5', 'a6')), (-4, ('M3', 'P5', 'm7')))	1
((3, ('m3', 'd5', 'd7')), (-4, ('M3', 'P5', 'a6')))	1
((0, ('M3', 'P5')), (3, ('m3', 'd5', 'd7')))	1
((9, ('M3', 'P5')), (8, ('m3', 'P5')))	1
((5, ('M3', 'P5')), (6, ('m3', 'P4', 'M6')))	1
((4, ('M3', 'P5')), (6, ('m3', 'M6')))	1
((6, ('m3', 'M6')), (8, ('m3', 'm6')))	1
((5, ('m3', 'd5', 'M6')), (-1, ('a2', 'a4', 'M6')))	1
((-1, ('a2', 'a4', 'M6')), (5, ('m3', 'd5', 'd7')))	1
((1, ('M3', 'P5')), (9, ('m3', 'd7')))	1
((6, ('m3', 'd5', 'd7')), (8, ('m3', 'd5', 'd7')))	1
((2, ('M3', 'P5', 'm7')), (3, ('P4', 'M6')))	1
((5, ('P4', 'M6')), (5, ('m3', 'M6')))	1
((0, ('M2', 'a4', 'M6')), (-1, ('M3', 'P5', 'm7')))	1
((-1, ('m3', 'a4', 'M6')), (-1, ('m3', 'P4', 'M6')))	1
((0, ('M3', 'P5', 'm7')), (1, ('P4', 'M6')))	1
((6, ('m3', 'd5', 'd7')), (-1, ('M3', 'P5')))	1
((-2, ('m3', 'M6')), (3, ('m3', 'P5')))	1
((-4, ('M3', 'P5')), (6, ('m3', 'd5', 'm7')))	1
((1, ('M3', 'a4')), (1, ('M3', 'P5', 'm7')))	1
((8, ('m3', 'm6')), (5, ('M3', 'P5')))	1
((6, ('m3', 'P5')), (9, ('m3', 'm6')))	1
((6, ('m3', 'P4', 'M6')), (8, ('m3', 'm6')))	1
((4, ('M3', 'P5')), (6, ('m3', 'P4', 'M6')))	1
((-4, ('M3', 'P5')), (-5, ('M3', 'M6')))	1
((-4, ('M3', 'P5')), (-7, ('M3', 'M6')))	1
((-3, ('m3', 'P5')), (-1, ('M3', 'P5', 'm7')))	1
((1, ('m3', 'd5', 'm6')), (-4, ('a4', 'P5')))	1
((-5, ('a4', 'M6')), (4, ('m3', 'd5', 'd7')))	1
((-11, ('M3', 'P5')), (-4, ('M3', 'P5', 'a6')))	1
((3, ('m3', 'd5', 'M6')), (0, ('m3', 'P5', 'M6')))	1
((-2, ('M3', 'P5', 'M6')), (5, ('m3', 'd5', 'd7')))	1
((-3, ('M3', 'M6')), (4, ('m3', 'd5', 'M6')))	1
((0, ('m3', 'a4', 'M6')), (2, ('M3', 'm6')))	1
((2, ('M3', 'm6')), (0, ('M2', 'a4', 'M6')))	1
((5, ('m3', 'P5')), (8, ('m3', 'm6')))	1
((2, ('M2', 'a4', 'M6')), (7, ('P4', 'm6')))	1
((7, ('P4', 'm6')), (5, ('m3', 'M6')))	1
((2, ('M3', 'P5')), (4, ('m3', 'M6')))	1
((0, ('M3', 'P5')), (1, ('a2', 'a4')))	1
((3, ('P4', 'P5')), (1, ('M2', 'a4', 'M6')))	1
((-1, ('M2', 'a4', 'M6')), (3, ('M2', 'P4')))	1
((-1, ('M3', 'P5', 'a6')), (-1, ('M3', 'P5')))	1
((10, ('m3', 'm6')), (10, ('m3', 'd5', 'm6')))	1
((10, ('m3', 'd5', 'm6')), (2, ('M3', 'M6')))	1
((2, ('M3', 'M6')), (5, ('m3', 'P5')))	1
((5, ('m3', 'P5')), (2, ('P4', 'M6')))	1
((-1, ('m3', 'm6')), (0, ('m3', 'a4', 'M6')))	1
((-1, ('m3', 'm7')), (-4, ('a2', 'a4', 'M6')))	1
((3, ('P4', 'd5', 'M6')), (6, ('m3', 'd5', 'd7')))	1
((7, ('m3', 'm6')), (5, ('m3', 'M6')))	1
((2, ('m3', 'P5')), (-2, ('M3', 'P5', 'a6')))	1
((2, ('M3', 'P5')), (4, ('M3', 'P5', 'm7')))	1
((4, ('M3', 'P5', 'm7')), (6, ('m3', 'm6')))	1
((4, ('M3', 'P5')), (6, ('m3', 'P5')))	1
((6, ('m3', 'P5')), (7, ('M3', 'P5', 'm7')))	1
((7, ('M3', 'P5', 'm7')), (2, ('M3', 'P5')))	1
((2, ('M3', 'P5')), (5, ('m3', 'P4', 'M6')))	1
((2, ('M3', 'P5', 'M6')), (4, ('P4', 'M6')))	1
((10, ('m3', 'd5', 'm6')), (10, ('m3', 'm6')))	1
((7, ('m3', 'P4', 'M6')), (10, ('m3', 'd5', 'm6')))	1
((-2, ('P4', 'm6')), (7, ('m3', 'P4', 'M6')))	1
((-3, ('m3', 'P5')), (-2, ('P4', 'm6')))	1
((-2, ('M3', 'P5', 'a6')), (3, ('M3', 'P5')))	1
((-1, ('P4', 'm6')), (-1, ('m2', 'P4', 'm6')))	1
((-1, ('m2', 'P4', 'm6')), (-3, ('m3', 'm6')))	1
((-3, ('m3', 'm6')), (-3, ('M2', 'a4', 'M6')))	1
((-5, ('M3', 'M6')), (-5, ('M2', 'a4', 'M6')))	1
((0, ('m3', 'm6')), (0, ('m2', 'P4', 'm6')))	1
((0, ('m2', 'P4', 'm6')), (-2, ('m3', 'm6')))	1
((-2, ('m3', 'm6')), (-2, ('M2', 'a4', 'M6')))	1
((2, ('m3', 'd5', 'm7')), (-5, ('M3', 'a6')))	1
((-1, ('m3', 'a4', 'M6')), (1, ('m3', 'P4', 'M6')))	1
((-1, ('M3', 'P5')), (-2, ('m3', 'a4', 'M6')))	1
((-2, ('m3', 'a4', 'M6')), (0, ('m3', 'P4', 'M6')))	1
((-2, ('P4', 'P5')), (-2, ('m3', 'M6')))	1
((-1, ('M3', 'P5')), (3, ('m3', 'd5', 'm6')))	1
((-3, ('m3', 'a4', 'M6')), (-1, ('m3', 'P4', 'M6')))	1
((-4, ('m3', 'a4', 'M6')), (-4, ('M3', 'P5', 'a6')))	1
((-4, ('m3', 'm6')), (-4, ('m3', 'a4', 'M6')))	1
((-4, ('m3', 'P5')), (-4, ('m3', 'm6')))	1
((-7, ('M3', 'M6')), (0, ('m3', 'd5', 'm6')))	1
((2, ('m3', 'P5')), (0, ('M3', 'a4', 'M6')))	1
((3, ('m3', 'm6')), (4, ('M3', 'd5', 'm6')))	1
((4, ('m3', 'm6')), (4, ('m3', 'a4', 'M6')))	1
((4, ('m3', 'a4', 'M6')), (9, ('m3', 'd5', 'm6')))	1
((0, ('P4', 'M6')), (5, ('M3', 'P5', 'm7')))	1
((5, ('P4', 'm6')), (3, ('M3', 'P5', 'm7')))	1
((-1, ('m3', 'a4', 'M6')), (-1, ('m3', 'm6')))	1
((-3, ('M3', 'M6')), (3, ('P4', 'm6')))	1
((-1, ('m3', 'd5', 'm6')), (-5, ('P4', 'M6')))	1
((-1, ('m3', 'P5', 'M6')), (-2, ('M2', 'a4', 'M6')))	1
((0, ('P4', 'm6')), (2, ('P4', 'm6')))	1
((-2, ('M3', 'P5', 'm7')), (-7, ('M3', 'M6')))	1
((1, ('m3', 'P4', 'M6')), (8, ('M3', 'm6')))	1
((8, ('M3', 'm6')), (-1, ('M3', 'P5')))	1
((-2, ('P4', 'm6')), (-2, ('P4', 'P5')))	1
((-3, ('M2', 'a4', 'M6')), (-5, ('M3', 'a4', 'M6')))	1
((1, ('m3', 'm6')), (1, ('m3', 'a4', 'M6')))	1
((-3, ('a2', 'a4', 'M6')), (2, ('m3', 'd5', 'm6')))	1
((-2, ('M3', 'P5')), (-2, ('a2', 'a4', 'M6')))	1
((3, ('M3', 'm6')), (2, ('m3', 'm6')))	1
((-5, ('a2', 'a4', 'M6')), (1, ('m3', 'M6')))	1
((1, ('m3', 'm6')), (0, ('m3', 'a4', 'M6')))	1
((0, ('m3', 'm6')), (-1, ('m3', 'P5', 'M6')))	1
((0, ('M2', 'a4', 'M6')), (6, ('m3', 'm6')))	1
((1, ('M3', 'P5')), (7, ('d4', 'd5')))	1
((7, ('d4', 'd5')), (6, ('m3', 'd5')))	1
((9, ('m3', 'd7')), (9, ('m3', 'm6')))	1
((-4, ('P4', 'M6')), (-6, ('a4', 'M6')))	1
((1, ('P4', 'M6')), (6, ('m3', 'm7')))	1
((2, ('m3', 'P5')), (3, ('P4', 'M6')))	1
((3, ('m3', 'm6')), (-2, ('M3', 'M7')))	1
((2, ('m3', 'P4', 'M6')), (0, ('M3', 'a5', 'm7')))	1
((2, ('m3', 'P5')), (-2, ('a2', 'a4', 'M6')))	1
((4, ('M3', 'P5', 'm7')), (3, ('m3', 'M6')))	1
((8, ('m3', 'd5', 'd7')), (3, ('M3', 'm6')))	1
((-5, ('M3', 'a4', 'M6')), (0, ('P4', 'M6')))	1
((-3, ('m3', 'P5')), (0, ('m3', 'd5', 'm7')))	1
((-6, ('M3', 'M6')), (-2, ('P4', 'm6')))	1
((-3, ('M3', 'M6')), (0, ('m3', 'd5')))	1
((3, ('m3', 'd5', 'd7')), (-6, ('a4', 'M6')))	1
((-6, ('a4', 'M6')), (-5, ('M3', 'M6')))	1
((-1, ('m3', 'P5')), (-10, ('P4', 'M6')))	1
((1, ('m3', 'd5', 'd7')), (-2, ('m3', 'd5', 'M6')))	1
((-5, ('m3', 'a4', 'M6')), (1, ('m3', 'd5', 'd7')))	1
((1, ('m3', 'd5', 'd7')), (-7, ('M3', 'M6')))	1
((-5, ('m3', 'P5', 'm7')), (-8, ('M3', 'P5', 'M6')))	1
((-8, ('M3', 'P5', 'M6')), (-4, ('P4', 'm6')))	1
((-4, ('P4', 'm6')), (-5, ('m3', 'P5', 'm7')))	1
((-5, ('m3', 'P5', 'm7')), (-4, ('m3', 'P5')))	1
((-4, ('m3', 'P5')), (-3, ('P4', 'm6')))	1
((-3, ('P4', 'm6')), (-4, ('m3', 'P5')))	1
((-7, ('M3', 'M6')), (-3, ('P4', 'm6')))	1
((-3, ('P4', 'm6')), (-8, ('M3', 'P5')))	1
((-8, ('M3', 'P5')), (-1, ('m3', 'd5', 'm6')))	1
((0, ('m3', 'd5')), (0, ('m3', 'd5', 'M6')))	1
((0, ('M2', 'P4', 'm6')), (6, ('m3', 'd5', 'd7')))	1
((-2, ('P4', 'm6')), (-3, ('m3', 'P5')))	1
((1, ('m3', 'P4', 'm6')), (1, ('m3', 'P4', 'M6')))	1
((0, ('m3', 'd5')), (-4, ('M3', 'P5')))	1
((-4, ('M3', 'P5')), (-3, ('m3', 'P4', 'M6')))	1
((-3, ('m3', 'P4', 'M6')), (0, ('m3', 'd5', 'm6')))	1
((3, ('m3', 'm6')), (6, ('m3', 'd5', 'd7')))	1
((0, ('P4', 'M6')), (-1, ('m3', 'P5')))	1
((-1, ('m3', 'P5')), (3, ('m3', 'P5', 'm7')))	1
((-4, ('M3', 'M6')), (1, ('M2', 'P4', 'M6')))	1
((0, ('M3', 'P5')), (5, ('m2', 'P5')))	1
((5, ('m2', 'P5')), (3, ('m3', 'P4', 'M6')))	1
((4, ('m3', 'm6')), (10, ('m3', 'd5', 'd7')))	1
((5, ('m3', 'd5', 'm6')), (6, ('m3', 'd5', 'm7')))	1
((-3, ('m3', 'P5')), (1, ('m3', 'd5', 'M6')))	1
((2, ('m3', 'm6')), (-4, ('m3', 'P5')))	1
((-6, ('M3', 'M6')), (9, ('m3', 'm6')))	1
((-1, ('m3', 'P5', 'm6')), (6, ('m3', 'd5', 'm6')))	1
((4, ('P4', 'M6')), (4, ('M3', 'P5')))	1
((2, ('m3', 'M6')), (-3, ('M3', 'aa5')))	1
((-1, ('m3', 'M6')), (1, ('m3', 'P5', 'M6')))	1
((7, ('m3', 'm6')), (5, ('M3', 'P5')))	1
((5, ('P4', 'm6')), (-2, ('a2', 'a4', 'M6')))	1
((3, ('M3', 'P5')), (3, ('m3', 'm6')))	1
((2, ('M3', 'P5')), (-1, ('a2', 'a4', 'M6')))	1
((-1, ('a2', 'a4', 'M6')), (2, ('m3', 'a4', 'M6')))	1
((2, ('m3', 'a4', 'M6')), (8, ('m3', 'd5', 'd7')))	1
((5, ('m3', 'P4', 'M6')), (0, ('a2', 'M6')))	1
((2, ('M3', 'P5')), (2, ('m3', 'a4', 'M6')))	1
((5, ('M3', 'P5')), (5, ('m3', 'm6')))	1
((2, ('m3', 'a4', 'M6')), (2, ('m3', 'a4', 'm7')))	1
